emp_id	skill_id	skill_level
Employee 1	26	2
Employee 1	45	3
Employee 1	68	3
Employee 1	60	2
Employee 1	48	2
Employee 1	49	3
Employee 1	50	3
Employee 1	95	3
Employee 1	70	2
Employee 1	72	3
Employee 1	73	3
Employee 1	47	3
Employee 1	74	3
Employee 1	97	3
Employee 1	98	3
Employee 1	24	1
Employee 1	25	1
Employee 2	51	2
Employee 2	95	3
Employee 2	96	3
Employee 2	61	2
Employee 2	97	2
Employee 3	87	2
Employee 3	88	3
Employee 3	91	2
Employee 3	98	2
Employee 3	81	3
Employee 3	83	3
Employee 4	98	2
Employee 4	9	4
Employee 4	8	4
Employee 4	16	4
Employee 4	13	4
Employee 5	24	2
Employee 5	25	3
Employee 5	34	3
Employee 5	30	3
Employee 5	31	4
Employee 5	22	4
Employee 5	23	3
Employee 5	5	3
Employee 5	95	2
Employee 5	94	3
Employee 5	97	3
Employee 5	98	3
Employee 6	98	3
Employee 6	5	4
Employee 6	11	2
Employee 6	10	3
Employee 6	34	2
Employee 7	94	3
Employee 7	94	3
Employee 7	97	2
Employee 7	97	3
Employee 7	79	3
Employee 7	79	3
Employee 7	79	3
Employee 7	81	2
Employee 7	81	3
Employee 7	81	2
Employee 7	92	3
Employee 7	92	3
Employee 7	76	3
Employee 7	92	3
Employee 7	59	1
Employee 7	59	1
Employee 8	46	3
Employee 8	46	4
Employee 8	46	3
Employee 8	46	3
Employee 8	45	3
Employee 8	46	3
Employee 8	55	3
Employee 8	55	2
Employee 8	55	2
Employee 8	55	2
Employee 8	59	3
Employee 8	59	2
Employee 8	59	3
Employee 8	66	2
Employee 8	94	2
Employee 8	94	2
Employee 8	94	2
Employee 8	97	3
Employee 8	97	4
Employee 9	18	2
Employee 9	19	3
Employee 9	20	4
Employee 9	98	3
Employee 10	98	3
Employee 10	14	2
Employee 10	11	2
Employee 10	15	2
Employee 11	22	3
Employee 11	23	2
Employee 11	24	2
Employee 11	25	2
Employee 11	7	4
Employee 11	19	3
Employee 11	98	4
Employee 12	81	2
Employee 12	82	3
Employee 12	83	2
Employee 12	92	4
Employee 12	93	4
Employee 12	76	3
Employee 12	98	2
Employee 13	24	3
Employee 13	19	4
Employee 13	7	3
Employee 13	5	2
